Datetime,Sample,Time_Step,MSLP,Latitude,Longitude
2023-07-13 12:00:00,0,0,100193.4140625,17.5,119.75
2023-07-13 12:00:00,0,1,99825.328125,18.0,118.75
2023-07-13 12:00:00,0,2,99458.7265625,18.0,117.75
2023-07-13 12:00:00,0,3,98955.828125,18.75,117.25
2023-07-13 12:00:00,0,4,98881.1328125,19.0,116.0
2023-07-13 12:00:00,0,5,98653.7890625,19.5,114.5
2023-07-13 12:00:00,0,6,98612.5390625,20.0,113.5
2023-07-13 12:00:00,0,7,98456.9296875,20.5,112.0
2023-07-13 12:00:00,0,8,98522.1953125,21.25,110.5
2023-07-13 12:00:00,0,9,99111.1796875,21.5,109.0
2023-07-13 12:00:00,0,10,99804.7421875,21.0,107.5
2023-07-13 12:00:00,0,11,100049.6796875,21.25,106.0
2023-07-13 12:00:00,1,0,100151.6953125,17.0,119.5
2023-07-13 12:00:00,1,1,99770.75,17.5,119.25
2023-07-13 12:00:00,1,2,99372.5390625,18.0,118.75
2023-07-13 12:00:00,1,3,98979.5078125,18.5,118.0
2023-07-13 12:00:00,1,4,98767.546875,18.75,116.5
2023-07-13 12:00:00,1,5,98799.625,19.25,115.0
2023-07-13 12:00:00,1,6,98705.1171875,19.5,113.5
2023-07-13 12:00:00,1,7,99094.9296875,20.0,112.0
2023-07-13 12:00:00,1,8,99408.609375,19.75,110.5
2023-07-13 12:00:00,1,9,99621.3203125,19.75,109.0
2023-07-13 12:00:00,1,10,99943.8984375,18.75,107.5
2023-07-13 12:00:00,1,11,100070.171875,18.5,106.5
2023-07-13 12:00:00,2,0,100172.9765625,18.75,122.0
2023-07-13 12:00:00,2,1,100072.6171875,18.25,120.5
2023-07-13 12:00:00,2,2,99822.921875,18.25,119.0
2023-07-13 12:00:00,2,3,99422.265625,19.25,117.5
2023-07-13 12:00:00,2,4,99155.2109375,19.5,116.0
2023-07-13 12:00:00,2,5,98969.3671875,19.75,114.5
2023-07-13 12:00:00,2,6,99266.734375,20.0,113.0
2023-07-13 12:00:00,2,7,99640.5,20.0,111.5
2023-07-13 12:00:00,2,8,100037.09375,19.5,110.0
2023-07-13 12:00:00,3,0,100066.7890625,18.5,121.75
2023-07-13 12:00:00,3,1,99978.921875,18.0,120.25
2023-07-13 12:00:00,3,2,99392.34375,18.25,118.75
2023-07-13 12:00:00,3,3,98873.9296875,18.75,117.75
2023-07-13 12:00:00,3,4,98254.4140625,19.5,116.5
2023-07-13 12:00:00,3,5,98160.0625,20.25,115.0
2023-07-13 12:00:00,3,6,97923.421875,20.75,113.5
2023-07-13 12:00:00,3,7,98208.328125,21.5,112.0
2023-07-13 12:00:00,3,8,99465.578125,22.75,110.5
2023-07-13 12:00:00,3,9,99972.578125,23.75,109.0
2023-07-13 12:00:00,3,10,100491.46875,22.5,107.5
2023-07-13 12:00:00,4,0,100188.5859375,18.5,120.75
2023-07-13 12:00:00,4,1,99810.1640625,17.5,119.25
2023-07-13 12:00:00,4,2,99404.1015625,17.75,118.25
2023-07-13 12:00:00,4,3,98951.4453125,18.5,117.5
2023-07-13 12:00:00,4,4,98413.453125,19.0,116.5
2023-07-13 12:00:00,4,5,98478.890625,19.75,115.0
2023-07-13 12:00:00,4,6,98053.3984375,20.25,113.5
2023-07-13 12:00:00,4,7,98354.7578125,21.25,112.0
2023-07-13 12:00:00,4,8,99755.5859375,22.5,110.5
2023-07-13 12:00:00,4,9,100019.0234375,23.5,109.0
2023-07-13 12:00:00,5,0,100164.7421875,18.75,122.25
2023-07-13 12:00:00,5,1,99903.4140625,19.0,120.75
2023-07-13 12:00:00,5,2,99347.6953125,17.75,119.25
2023-07-13 12:00:00,5,3,98964.984375,18.5,119.5
2023-07-13 12:00:00,5,4,99041.2109375,20.0,118.75
2023-07-13 12:00:00,5,5,99209.1953125,20.5,117.25
2023-07-13 12:00:00,5,6,98934.59375,20.75,116.0
2023-07-13 12:00:00,5,7,98916.6328125,22.0,114.5
2023-07-13 12:00:00,5,8,99521.890625,23.25,113.0
2023-07-13 12:00:00,5,9,100207.921875,23.5,111.5
2023-07-13 12:00:00,6,0,100077.7265625,18.25,122.5
2023-07-13 12:00:00,6,1,100098.046875,18.75,121.5
2023-07-13 12:00:00,6,2,99823.3046875,17.75,120.0
2023-07-13 12:00:00,6,3,99316.6015625,18.25,118.5
2023-07-13 12:00:00,6,4,98840.8515625,18.0,117.0
2023-07-13 12:00:00,6,5,98618.3828125,18.25,115.75
2023-07-13 12:00:00,6,6,98354.4453125,19.0,114.25
2023-07-13 12:00:00,6,7,97799.9609375,19.5,112.75
2023-07-13 12:00:00,6,8,97725.203125,20.5,111.25
2023-07-13 12:00:00,6,9,98909.8984375,21.75,109.75
2023-07-13 12:00:00,6,10,99926.78125,23.0,108.25
2023-07-13 12:00:00,6,11,100273.6484375,21.75,108.75
2023-07-13 12:00:00,7,0,100135.765625,18.75,122.0
2023-07-13 12:00:00,7,1,100043.140625,18.25,120.5
2023-07-13 12:00:00,7,2,99562.5234375,17.75,119.0
2023-07-13 12:00:00,7,3,99304.6484375,18.75,118.25
2023-07-13 12:00:00,7,4,98697.265625,19.5,117.0
2023-07-13 12:00:00,7,5,98082.71875,20.0,115.5
2023-07-13 12:00:00,7,6,98186.3125,20.0,114.0
2023-07-13 12:00:00,7,7,98227.359375,20.75,112.5
2023-07-13 12:00:00,7,8,98754.8203125,21.0,111.0
2023-07-13 12:00:00,7,9,99520.8046875,22.5,109.5
2023-07-13 12:00:00,7,10,100272.3671875,22.75,108.0
2023-07-13 12:00:00,8,0,100145.890625,18.25,122.5
2023-07-13 12:00:00,8,1,100087.0625,19.0,121.0
2023-07-13 12:00:00,8,2,99741.890625,18.25,119.5
2023-07-13 12:00:00,8,3,99555.140625,19.0,118.0
2023-07-13 12:00:00,8,4,99218.296875,19.5,116.5
2023-07-13 12:00:00,8,5,99201.515625,19.25,115.0
